,model,num
0,efficientnet_b3,201
1,googlenet,240
2,convnext_base,153
3,shufflenet_v2_x0_5,275
4,densenet201,157
5,mnasnet1_0,241
6,densenet121,176
7,resnet18,260
8,efficientnet_b0,222
9,mnasnet0_5,258
10,mobilenet_v3_small,269
11,swin_t,208
12,shufflenet_v2_x1_0,263
13,vit_b_16,196
14,efficientnet_b2,209
15,convnext_tiny,182
16,shufflenet_v2_x1_5,254
17,efficientnet_v2_l,161
18,efficientnet_b6,164
19,vgg19,183
20,vgg13_bn,174
21,resnet101,209
22,shufflenet_v2_x2_0,248
23,mobilenet_v2,230
24,swin_v2_s,175
25,regnet_y_32gf,182
26,regnet_y_16gf,188
27,efficientnet_b5,178
28,mnasnet0_75,250
29,vgg11,196
30,vgg16,185
31,densenet161,150
32,resnet50,224
33,regnet_x_800mf,245
34,swin_b,175
35,convnext_large,131
36,alexnet,225
37,efficientnet_b1,209
38,swin_v2_t,203
39,vit_l_16,154
40,efficientnet_b7,158
41,wide_resnet50_2,211
42,regnet_x_3_2gf,217
43,densenet169,169
44,mobilenet_v3_large,242
45,vgg16_bn,172
46,swin_s,187
47,regnet_x_32gf,181
48,wide_resnet101_2,192
49,efficientnet_b4,188
50,swin_v2_b,164
51,regnet_x_16gf,191
52,regnet_x_400mf,258
53,resnet152,191
54,regnet_x_8gf,211
55,vgg19_bn,165
56,squeezenet1_0,216
57,resnet34,250
58,inception_v3,137
59,mnasnet1_3,231
60,efficientnet_v2_s,204
61,efficientnet_v2_m,185
62,regnet_x_1_6gf,231
63,convnext_small,161
64,regnet_y_128gf,56
65,vgg13,188
66,squeezenet1_1,140
67,vgg11_bn,183
