model,predict,measure
alexnet,19.387684525847433,18.217875
convnext_base,1036.8111768569947,1200.2145759999999
convnext_large,1889.3121085557937,2184.6844040000015
convnext_small,633.8261872696877,690.0427230000005
convnext_tiny,385.4998102741242,418.3672080000002
densenet121,311.51340792655947,300.31803900000017
densenet161,556.1711378078461,557.28958
densenet169,407.7932547302246,402.6850920000001
densenet201,499.264836473465,491.9569139999995
efficientnet_b0,151.22982699537278,149.3089340000001
efficientnet_b1,213.37624995088578,213.1163769999999
efficientnet_b2,219.61819412207603,221.34390399999998
efficientnet_b3,272.9597180597782,274.9099929999998
efficientnet_b4,358.96271031689645,352.79096099999987
efficientnet_b5,484.2485293931961,492.652492
efficientnet_b6,614.2718201646804,608.3006439999996
efficientnet_b7,817.7469871165753,824.6894470000008
efficientnet_v2_l,912.5718822221756,890.4331810000002
efficientnet_v2_m,537.9141966156959,534.9418329999995
efficientnet_v2_s,338.2526028366089,335.8478199999998
googlenet,124.35797722244263,128.42369899999994
inception_v3,193.04764283180236,220.21776800000006
mnasnet0_5,79.0411152267456,77.61673899999997
mnasnet0_75,90.07125368690491,93.43873500000004
mnasnet1_0,96.82058979034424,94.51310799999997
mnasnet1_3,117.56257666969299,122.98834699999993
mobilenet_v2,104.81562166023254,99.7297900000001
mobilenet_v3_large,101.67848730182648,101.89016499999998
mobilenet_v3_small,67.92675626182556,72.65182199999998
regnet_x_16gf,677.2418736305236,1117.044763999999
regnet_x_1_6gf,164.85690532302857,337.35959399999973
regnet_x_32gf,1192.7411647529602,1900.6789129999997
regnet_x_3_2gf,245.90324588394165,593.8695419999998
regnet_x_400mf,115.91189373779297,187.95731599999985
regnet_x_800mf,118.68567697143554,217.24988399999978
regnet_x_8gf,391.2443145980835,533.1457619999996
regnet_y_16gf,691.7541566019058,1158.1178559999998
regnet_y_32gf,1085.160823433876,1515.6867840000004
resnet101,383.23700783729555,369.9113179999999
resnet152,542.6282228603363,523.8521149999995
resnet18,70.99081846046448,64.93253999999999
resnet34,119.45680808258057,110.12221900000004
resnet50,227.9887280292511,212.1504280000001
shufflenet_v2_x0_5,90.13351140213013,92.37302399999999
shufflenet_v2_x1_0,92.44606944847106,97.0889070000001
shufflenet_v2_x1_5,97.4962988319397,96.46016600000003
shufflenet_v2_x2_0,106.49273834991455,104.84290000000004
squeezenet1_0,47.724458421707155,49.16832399999998
squeezenet1_1,34.27221886253357,32.69436499999998
swin_b,692.872408256054,777.3749029999993
swin_s,498.83237860155106,577.1035470000002
swin_t,285.04483475923536,322.31755800000013
swin_v2_b,670.1876049140096,765.3543929999998
swin_v2_s,519.9478147719204,637.7193160000005
swin_v2_t,298.5784196641743,292.57123200000024
vgg11,142.10263453531266,131.52076399999999
vgg11_bn,169.28368110084534,153.50794099999996
vgg13,229.22723682022095,214.59145099999995
vgg13_bn,281.28864511299133,256.018226
vgg16,272.7990181250572,259.47856
vgg16_bn,330.4935376873016,301.5234749999999
vgg19,316.5139825320244,301.5287030000001
vgg19_bn,379.4033622570038,344.54608300000007
vit_b_16,392.492511833191,416.095076
vit_l_16,1301.7505228385926,2518.3385059999996
wide_resnet101_2,748.2397949428558,663.845114
wide_resnet50_2,427.26283838653563,378.800777
