op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,153.532,200.0086365,3.52,4.685359955,157.052,204.6939964
relu,7.679,8.431650162,1.152,0.804698884,8.831,9.236349046
max_pool2d,17.536,12.13871193,1.12,1.342601776,18.656,13.48131371
conv2d,301.335,273.8601761,3.712,10.63985443,305.047,284.5000305
relu,6.304,8.993814707,1.184,1.342227906,7.488,10.33604261
others,12.511,14.05808449,0.992,1.431941986,13.503,15.49002647
conv2d,215.131,211.584554,7.295,7.535691579,222.426,219.1202456
relu,4.288,4.563405196,0.992,1.72633489,5.28,6.289740086
conv2d,307.319,279.79599,5.952,5.701282501,313.271,285.4972725
relu,4.096,5.541712165,0.96,1.735742569,5.056,7.277454734
conv2d,215.77,252.7350273,5.856,13.05032158,221.626,265.7853489
relu,4.127,3.650194585,1.088,0.920358613,5.215,4.570553198
others,6.176,2.551897526,1.152,0.908979371,7.328,3.460876897
adaptive_avg_pool2d,177.691,19.03152668,1.024,0.749689057,178.715,19.78121574
iadd,9.056,11.77947438,4.159,2.98443222,13.215,14.7639066
linear,998.916,984.80159,1.152,1.127973542,1000.068,985.9295635
relu,5.248,3.321840763,1.152,1.155065536,6.4,4.4769063
iadd,7.327,9.653947949,1.152,1.27302742,8.479,10.92697537
linear,422.74,476.3997421,1.056,1.125595078,423.796,477.5253372
relu,5.12,5.858187079,1.12,1.171651825,6.24,7.029838905
linear,99.133,58.57047176,1.184,1.069196701,100.317,59.63966846
linear,5.792,17.06453204,0.992,1.591091156,6.784,18.6556232
cross_entrpy,28.287,15.91643715,357.11,368.4959793,385.397,384.4124165
cross_entrpy,17.568,16.0025959,182.298,191.2020073,199.866,207.2046032
linear,151.74,53.78076077,220.506,202.0691414,372.246,255.8499022
relu,9.727,38.71195555,1526.324,1563.014404,1536.051,1601.72636
iadd,7.776,31.37110424,1.184,0.778573949,8.96,32.14967819
relu,7.04,2.550601125,3302.753,3457.716675,3309.793,3460.267276
iadd,13.312,15.23127174,0.991,0.617071137,14.303,15.84834288
adaptive_avg_pool2d,187.962,231.9438667,2.209,8.533626556,190.171,240.4774933
others,90.11,28.01019526,1.984,1.328792557,92.094,29.33898781
relu,4.639,7.012445688,1.12,1.192073822,5.759,8.20451951
conv2d,349.781,395.6823654,47.712,26.35502243,397.493,422.0373878
relu,6.496,8.852403879,1.12,1.121562943,7.616,9.973966822
conv2d,542.799,577.3599167,79.327,84.38703728,622.126,661.746954
relu,8.191,5.434770942,1.153,1.1247444,9.344,6.559515342
conv2d,423.828,396.0050049,54.494,46.29242071,478.322,442.2974256
others,115.099,58.81027222,2.017,3.077973684,117.116,61.8882459
relu,10.72,9.952849865,1.056,1.187918325,11.776,11.14076819
conv2d,713.355,377.2303772,27.744,21.26905823,741.099,398.4994354
others,64.927,91.08410645,2.143,1.893032074,67.07,92.97713852
relu,17.087,22.91475868,1.024,0.743495882,18.111,23.65825456
conv2d,327.83,466.4486084,22.688,26.44457626,350.518,492.8931847
