op,duration_mre,duration_rmse,gap_mre,gap_rmse,total_mre,total_rmse,total
conv2d,0.08609276,1.829679813,0.133200944,0.077309325,0.117765383,1.834490696,0.302947458
batchnorm,0.097474445,0.194952959,0.153686642,0.043833143,0.072346854,0.200283134,0.175046774
relu,0.108681981,0.117982776,0.06805176,0.035551461,0.078126127,0.129259517,0.105103127
max_pool2d,0.105673922,0.569554678,0.33052574,0.023578657,0.104818232,0.569708204,0.052054749
iadd,0.061951342,0.049071908,0.127015582,0.02770338,0.05447756,0.056321927,0.041113566
adaptive_avg_pool2d,0.118970751,0.060527136,1.03264521,0.031156654,0.104012281,0.071187758,0.023691632
linear,0.514676904,0.094786016,0.65282302,0.050129143,0.446507145,0.106990731,0.020517786
cross_entrpy,0.363475555,0.008207152,0.13402727,0.135624354,0.129081596,0.134176464,0.019380861
cat,0.070701655,0.052346349,0.215997817,0.027400913,0.065087451,0.058120748,0.023934941
avg_pool2d,0.199174966,0.268581461,0.644150594,0.030803921,0.168438245,0.291818024,0.018418295
silu,0.121823782,0.0645497,0.342142098,0.009415991,0.304250718,0.065219935,0.028954819
sigmoid,0.350837301,0.001640309,0.188851257,0.031843532,0.208743635,0.031937925,0.017927072
floordiv,0.050098465,0.056785134,0.188396789,0.016444923,0.045993777,0.065673644,0.025832495
bernoulli,0.101993947,0.043672005,0.107381031,0.024830819,0.100382174,0.050118666,0.018966089
hardswish,0.187283415,0.087211167,0.679503181,0.013589908,0.15003906,0.088264502,0.01848964
hardsigmoid,0.305636677,0.001044817,0.159154944,0.022792667,0.165375304,0.022488832,0.017532447
sub,0.116318052,0.012967907,0.591618338,0.033901079,0.060482868,0.033852871,0.018131529
mean,0.247414704,0.031976472,0.357606004,0.017569284,0.2706433,0.035917706,0.01761632
clone,0.16036867,0.032251928,0.281618794,0.021831598,0.063575402,0.034665428,0.018955368
LSTMCell,0.21613414,0.051311612,0.557,0.01135,0.3751231,0.035123151,0.01461632
RNNCell,0.15716912,0.031298132,0.1521098,0.017569284,0.2706433,0.025912456,0.00769928
GRUCell,0.23987125,0.039810231,0.2571298,0.015998712,0.2510984,0.045900912,0.00961245
